nombre,categoria,direccion_completa,barrio,comuna
GUANTANAMERA,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 2092",Puerto Madero,Comuna 1
1843 VINACOTECA,VINERIA,HUMBERTO 1Âº 1843,San Cristobal,Comuna 3
2080 EXPRESS,RESTAURANTE,JURAMENTO AV. 2080,Belgrano,Comuna 13
22,CAFE,MURGUIONDO 4188,Villa Lugano,Comuna 8
4 EN 2 I,RESTAURANTE,"BORGES, JORGE LUIS 2095",Palermo,Comuna 14
4 X 4 CAFE,BAR,DEL LIBERTADOR AV. 3838,Palermo,Comuna 14
5TA AVENIDA,RESTAURANTE,SARMIENTO 814,San Nicolas,Comuna 1
5TA AVENIDA I,RESTAURANTE,SARMIENTO 381,San Nicolas,Comuna 1
5TA ZONA,,MURILLO 1049,Villa Crespo,Comuna 15
650,RESTAURANTE,SAN MARTIN 650,San Nicolas,Comuna 1
788 FOODBAR,RESTAURANTE,ARENALES 1877,Recoleta,Comuna 2
7 SEVEN,RESTAURANTE,GORRITI 5802,Palermo,Comuna 14
8 MILIMETROS,RESTAURANTE,GORRITI 5535,Palermo,Comuna 14
9 DE JULIO,RESTAURANTE,"PELLEGRINI, CARLOS 593",San Nicolas,Comuna 1
9 DE JULIO II,CAFE,RIESTRA AV. 5498,Villa Lugano,Comuna 8
ABC,RESTAURANTE,LAVALLE 545,San Nicolas,Comuna 1
ABRIL,RESTAURANTE,ARENALES 900,Retiro,Comuna 1
ABRIL BRISTO,RESTAURANTE,BALCARCE 722,San Telmo,Comuna 1
ABUELO MATIAS,RESTAURANTE,SAN PEDRITO 1094,Flores,Comuna 7
ACABAR,BAR,HONDURAS 5733,Palermo,Comuna 14
ACAPULCO,RESTAURANTE,LAVALLE 757,San Nicolas,Comuna 1
ACAPULCO,CAFE,MORENO 1800,Monserrat,Comuna 1
ACCADEMIA della pizza,RESTAURANTE,TRIUNVIRATO AV. 4495,Villa Urquiza,Comuna 12
A CORUÃÆÃ¢â¬ËA,VINERIA,MISIONES 125,Balvanera,Comuna 3
ACQUANOVA,,"DIAZ, CNEL. AV. 1879",Recoleta,Comuna 2
ACROPOLIS,CAFE,CORDOBA AV. 3493,Recoleta,Comuna 2
ACUARIO,RESTAURANTE,VARELA AV. 920,Flores,Comuna 7
ADANN,RESTAURANTE,"HERNANDEZ, JOSE 2345",Belgrano,Comuna 13
AFICHE,CAFE,"ALVEAR, MARCELO T. De 2119",Recoleta,Comuna 2
A FUEGO LENTO,RESTAURANTE,SANTO TOME 5915,Versalles,Comuna 10
AGARRATE CATALINA,RESTAURANTE,CABOTO 537,Boca,Comuna 4
AGRAZ,RESTAURANTE,POSADAS 1232,Retiro,Comuna 1
AIRES DE PATAGONIA,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 1798",Puerto Madero,Comuna 1
A. J. JARDIN CERVERCERO,RESTAURANTE,CHILE AV. 342,San Telmo,Comuna 1
ALA...,RESTAURANTE,BELGRANO AV. 1836,Balvanera,Comuna 3
ALABAMA,RESTAURANTE,RIVADAVIA AV. 3102,Balvanera,Comuna 3
ALABAMA,RESTAURANTE,SANTA FE AV. 5270,Palermo,Comuna 14
ALAI,CAFE,"ALSINA, ADOLFO 1702",Monserrat,Comuna 1
A LA MAROSKA,RESTAURANTE,"ALVEAR, MARCELO T. De 2251",Recoleta,Comuna 2
ALAMEDA,RESTAURANTE,DE MAYO AV. 1203,Monserrat,Comuna 1
ALAMEDA,RESTAURANTE,LAS HERAS GENERAL AV. 2324,Recoleta,Comuna 2
AL ANDALUZ,BAR,GODOY CRUZ 1823,Palermo,Comuna 14
ALARICO,RESTAURANTE,CHILE 518,San Telmo,Comuna 1
AL BAR,BAR,SAN JUAN AV. 915,Constitucion,Comuna 1
ALBERNIZ,CAFE,RIVADAVIA AV. 2886,Balvanera,Comuna 3
ALBOR,BAR,"CALVO, CARLOS 819",Constitucion,Comuna 1
AL CLUB,RESTAURANTE,PARAGUAY 2044,Recoleta,Comuna 2
ALDEA DE ALBARICOQUE,RESTAURANTE,LAMBARE 847,Almagro,Comuna 5
ALEA,CAFE,TALCAHUANO 888,Retiro,Comuna 1
ALE- ALE,,ESTADO DE ISRAEL AV. 4503,Villa Crespo,Comuna 15
ALEKS,CAFE,CORDOBA AV. 1541,Recoleta,Comuna 2
ALEXANDER,RESTAURANTE,TUCUMAN 304,San Nicolas,Comuna 1
ALFONSO 1RO,RESTAURANTE,PARAGUAY 3948,Palermo,Comuna 14
ALFRED,RESTAURANTE,PUEYRREDON AV. 1335,Recoleta,Comuna 2
AL FRESCO,RESTAURANTE,HONDURAS 5201,Palermo,Comuna 14
ALGO NATURAL,RESTAURANTE,VIAMONTE 351,San Nicolas,Comuna 1
ALHAMBRA,RESTAURANTE,RIVADAVIA AV. 8628,Velez Sarsfield,Comuna 10
ALHARACA,RESTAURANTE,GORRITI 5045,Palermo,Comuna 14
ALIMENTAR,RESTAURANTE,SAN MARTIN 570,San Nicolas,Comuna 1
ALIMENTARI,RESTAURANTE,LAVALLE 1120,San Nicolas,Comuna 1
ALIMENTOS,RESTAURANTE,SARMIENTO 372,San Nicolas,Comuna 1
ALL VERDI,RESTAURANTE,OLIDEN 1493,Mataderos,Comuna 9
ALMACEN NATURISTA,RESTAURANTE,"MANSILLA, LUCIO NORBERTO, GENERAL 2740",Recoleta,Comuna 2
ALMONTE,RESTAURANTE,BONPLAND 1939,Palermo,Comuna 14
ALO - ALO,RESTAURANTE,RIVADAVIA AV. 4945,Caballito,Comuna 6
ALPINA SKATE,PUB,RIVADAVIA AV. 6431,Flores,Comuna 7
AL SHARK,RESTAURANTE,"SCALABRINI ORTIZ, RAUL AV. 1426",Palermo,Comuna 14
ALSINA 300,RESTAURANTE,"ALSINA, ADOLFO 300",Monserrat,Comuna 1
AL TAGLIO PIZZORANTE,RESTAURANTE,ARAOZ 2476,Palermo,Comuna 14
ALTO GOYENO,RESTAURANTE,"GOYENA, PEDRO AV. 599",Caballito,Comuna 6
ALVEAR PARK,RESTAURANTE,"ALBERDI, JUAN BAUTISTA AV. 4302",Parque Avellaneda,Comuna 9
AMADEUS,PUB,RIVADAVIA AV. 7472,Flores,Comuna 7
AMAKAI,CAFE,INDEPENDENCIA AV. 3001,Balvanera,Comuna 3
AMARETTO,RESTAURANTE,CHORROARIN AV. 1206,Villa Ortuzar,Comuna 15
AMBAR BUENOS AIRES,PUB,"BEIRO, FRANCISCO AV. 3124",Villa Del Parque,Comuna 11
AMERICA,RESTAURANTE,HIDALGO 899,Caballito,Comuna 6
AMERICA DELI,CAFE,PERU 85,Monserrat,Comuna 1
AMERICANO,BAR,BELGRANO AV. 1421,Monserrat,Comuna 1
AMICO,CAFE,CHILE 1110,Monserrat,Comuna 1
AMIGOS,BAR,"PERON, JUAN DOMINGO, TTE. GENERAL 1417",San Nicolas,Comuna 1
AMIGOS PROPIETARIOS,RESTAURANTE,AYACUCHO 2183,Recoleta,Comuna 2
AMIKO,RESTAURANTE,LIMA 700,Monserrat,Comuna 1
ANAHI,BAR,"ALEM, LEANDRO N. AV. 481",San Nicolas,Comuna 1
AÃÆÃ¢â¬ËARO CERO,CAFE,"ALSINA, ADOLFO 1494",Monserrat,Comuna 1
ANCHORENA PLAZA,RESTAURANTE,SANTA FE AV. 2702,Recoleta,Comuna 2
ANDEN,RESTAURANTE,SANTA FE AV. 5302,Palermo,Comuna 14
ANGECINA,RESTAURANTE,REPUBLICA DOMINICANA 3386,Palermo,Comuna 14
ANGELIN,RESTAURANTE,CORDOBA AV. 5770,Chacarita,Comuna 15
ANGELINA,RESTAURANTE,CHARCAS 3386,Palermo,Comuna 14
ANGELO'S,CAFE,SANTA FE AV. 2779,Recoleta,Comuna 2
ANGELUS,RESTAURANTE,DEL LIBERTADOR AV. 7598,NuÃÆÃÂ±ez,Comuna 13
ANGLO,CAFE,RIVADAVIA AV. 7510,Flores,Comuna 7
ANGOSTURA,RESTAURANTE,LAVALLE 400,San Nicolas,Comuna 1
ANIMATE,CAFE,RIVADAVIA AV. 7390,Flores,Comuna 7
ANITA,RESTAURANTE,"NEWBERY, JORGE AV. 3902",Chacarita,Comuna 15
ANKER,RESTAURANTE,VIAMONTE 1602,San Nicolas,Comuna 1
ANTAÃÆÃ¢â¬ËO BAR,BAR,VUELTA DE OBLIGADO 1101,Palermo,Comuna 14
ANTE SALA,BAR,COSTA RICA 4969,Palermo,Comuna 14
ANUSH,BAR,ARMENIA 1242,Palermo,Comuna 14
APETECE,RESTAURANTE,"PELLEGRINI, CARLOS 169",San Nicolas,Comuna 1
APLAUSOS,RESTAURANTE,BELGRANO AV. 3251,Balvanera,Comuna 3
ARABIAN FOOD,RESTAURANTE,LAVALLE 796,San Nicolas,Comuna 1
ARACA BUENOS AIRES,RESTAURANTE,AYACUCHO 408,Balvanera,Comuna 3
ARCANGEL,RESTAURANTE,VIAMONTE 702,San Nicolas,Comuna 1
ARENALES 999,BAR,ARENALES 999,Retiro,Comuna 1
AREVALO AL FONDO,RESTAURANTE,AREVALO 3056,Palermo,Comuna 14
ARGOT CAFE,PUB,ALVAREZ JONTE AV. 2744,Villa Santa Rita,Comuna 11
ARGUIBEL,RESTAURANTE,"ARGUIBEL, ANDRES 2826",Palermo,Comuna 14
ARI- CA,RESTAURANTE,COSQUIN 25,Liniers,Comuna 9
ARI- CA II,RESTAURANTE,RIVADAVIA AV. 11156,Liniers,Comuna 9
ARMENIA RETAURANT,RESTAURANTE,ARMENIA 1366,Palermo,Comuna 14
ARMY CAFE,RESTAURANTE,RIVADAVIA AV. 5000,Caballito,Comuna 6
AROMA,RESTAURANTE,FLORIDA 428,San Nicolas,Comuna 1
AROMA AMBIENTAL,BAR,SANTA FE AV. 1260,Retiro,Comuna 1
AROMA EXPRESS,RESTAURANTE,PI Y MARGALL 775,Boca,Comuna 4
AROMI,RESTAURANTE,CORRIENTES AV. 4690,Almagro,Comuna 5
AROMI,BAR,RIVADAVIA AV. 6701,Flores,Comuna 7
ARRIGO,CAFE,LA PLATA AV. 479,Caballito,Comuna 6
ARSENO,RESTAURANTE,ISABEL LA CATOLICA 1094,Barracas,Comuna 4
ARTE CAFE,RESTAURANTE,SAN JUAN AV. 480,San Telmo,Comuna 1
ARTE DE MAFIA,RESTAURANTE,EL SALVADOR 4975,Palermo,Comuna 14
ARTESANIA DEL SABOR,RESTAURANTE,SALTA 622,Monserrat,Comuna 1
ARTON,RESTAURANTE,CORRIENTES AV. 4606,Almagro,Comuna 5
ARTUR,RESTAURANTE,BELGRANO AV. 1119,Monserrat,Comuna 1
ASIA DE CUBA,RESTAURANTE,"DEALESSI, PIERINA 750",Puerto Madero,Comuna 1
ASI DE SIMPLE,CAFE,"GARAY, JUAN DE AV. 615",San Telmo,Comuna 1
A SOLAS,CONFITERIA,"GALLO, DELFIN 5748",Villa Lugano,Comuna 8
ASTOR PIAZZOLA,RESTAURANTE,FLORIDA 165,San Nicolas,Comuna 1
ASTRAL,RESTAURANTE,RODRIGUEZ PEÃÆÃ¢â¬ËA 687,San Nicolas,Comuna 1
ASTRO BAR,RESTAURANTE,MEDRANO AV. 950,Almagro,Comuna 5
ASTURIAS,RESTAURANTE,DE LOS CONSTITUYENTES AV. 4598,Villa Pueyrredon,Comuna 12
A TEMPO,RESTAURANTE,ECHEVERRIA 2900,Belgrano,Comuna 13
ATENEA,RESTAURANTE,RIVADAVIA AV. 2300,Balvanera,Comuna 3
ATLANTICO,RESTAURANTE,GASCON 392,Almagro,Comuna 5
AU BEC FIN,RESTAURANTE,"LOPEZ, VICENTE 1877",Recoleta,Comuna 2
AUGUSTO,RESTAURANTE,"BROWN, ALTE. AV. 888",Boca,Comuna 4
AVANTY,RESTAURANTE,AYACUCHO 117,Balvanera,Comuna 3
AVE CAESAR,CAFE,FLORIDA 787,San Nicolas,Comuna 1
AVE FENIX,CAFE,"JUSTO, JUAN B. AV. 4242",Caballito,Comuna 6
AVENIDAS,CAFE,PASEO COLON AV. 1197,San Telmo,Comuna 1
AVI BAR,CAFE,SARMIENTO 1819,Balvanera,Comuna 3
AZAFRAN,RESTAURANTE,HONDURAS 5143,Palermo,Comuna 14
AZAPAR,RESTAURANTE,BELGRANO AV. 350,Monserrat,Comuna 1
AZUL ESPUMANTE,RESTAURANTE,GUATEMALA 4665,Palermo,Comuna 14
AZUL PROFUNDO,RESTAURANTE,DEL LIBERTADOR AV. 310,Retiro,Comuna 1
AZURRA,RESTAURANTE,MANSO JUANA 2,Puerto Madero,Comuna 1
AZURRO,RESTAURANTE,SANTA FE AV. 3596,Palermo,Comuna 14
BA,RESTAURANTE,"VEGA, NICETO, Cnel. AV. 5702",Palermo,Comuna 14
BABETTE,RESTAURANTE,LAS HERAS GENERAL AV. 2972,Recoleta,Comuna 2
BABIECA,RESTAURANTE,SANTA FE AV. 1898,Recoleta,Comuna 2
BABY BA,BAR,AREVALO 1466,Palermo,Comuna 14
BACARO,RESTAURANTE,LAVALLE 1368,San Nicolas,Comuna 1
BACHERO PIZZERIA CENTRO,RESTAURANTE,CORRIENTES AV. 1300,San Nicolas,Comuna 1
BACHET - BACHET,BAR,EL SALVADOR 4960,Palermo,Comuna 14
BACIO DA LUPO,RESTAURANTE,EL SALVADOR 5600,Palermo,Comuna 14
BACO,RESTAURANTE,URUGUAY 855,Retiro,Comuna 1
BAGDAD CAFE,RESTAURANTE,VIAMONTE 820,San Nicolas,Comuna 1
BAHIA,CONFITERIA,"GALLO, DELFIN 5792",Villa Lugano,Comuna 8
BAHIA,RESTAURANTE,SAENZ AV. 1455,Nueva Pompeya,Comuna 4
BAHIA MADERO,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 430",Puerto Madero,Comuna 1
BAJO ALEM,BAR,"ALEM, LEANDRO N. AV. 750",San Nicolas,Comuna 1
BAJO BELGRANO,RESTAURANTE,CONGRESO 2011,NuÃÆÃÂ±ez,Comuna 13
BAKANO,RESTAURANTE,CERVIÃÆÃ¢â¬ËO AV. 3496,Palermo,Comuna 14
BAKERY HOUSE,RESTAURANTE,CABILDO AV. 428,Colegiales,Comuna 13
BALBANERA,CAFE,"ALSINA, ADOLFO 3001",Balvanera,Comuna 3
BALDOMERO,BAR,TUCUMAN 681,San Nicolas,Comuna 1
BALEARES,RESTAURANTE,VEDIA 2002,NuÃÆÃÂ±ez,Comuna 13
BAMBO,CAFE,RIVADAVIA AV. 5647,Caballito,Comuna 6
BAMBU,RESTAURANTE,CORDOBA AV. 1415,Recoleta,Comuna 2
BANAURA BAR,RESTAURANTE,SOLER 4202,Palermo,Comuna 14
BANCHERO,CAFE,RIVADAVIA AV. 5401,Caballito,Comuna 6
BANCHERO,RESTAURANTE,SUAREZ 396,Boca,Comuna 4
BANCHERO OESTE,RESTAURANTE,RIVADAVIA AV. 5401,Caballito,Comuna 6
BANDE,RESTAURANTE,"ALSINA, ADOLFO 3119",Balvanera,Comuna 3
BAR,BAR,HONDURAS 5699,Palermo,Comuna 14
BAR 2001,CAFE,LAVALLE 2001,Balvanera,Comuna 3
BAR 6,BAR,ARMENIA 1676,Palermo,Comuna 14
BAR 9 DE JULIO,CAFE,"BALBIN, RICARDO, DR. AV. 4999",Saavedra,Comuna 12
BAR ABIERTO,BAR,"BORGES, JORGE LUIS 1613",Palermo,Comuna 14
BAR ACONCAGUA,RESTAURANTE,ESTADOS UNIDOS 502,San Telmo,Comuna 1
BARAJAS,CAFE,RIVADAVIA AV. 3499,Almagro,Comuna 5
BAR ALEMAN,PUB,SAN MARTIN AV. 5992,Villa Devoto,Comuna 11
BAR AMERICANO,CAFE,RIVADAVIA AV. 2598,Balvanera,Comuna 3
BAR AMERICANO,RESTAURANTE,CORRIENTES AV. 427,San Nicolas,Comuna 1
BAR AMERICANO LA BOLSA,RESTAURANTE,SARMIENTO 301,San Nicolas,Comuna 1
BAR ARTE,RESTAURANTE,DEL LIBERTADOR AV. 6445,Belgrano,Comuna 13
BAR ASTURIANO,BAR,REPUBLICA BOLIVARIANA DE VENEZUELA 1699,Monserrat,Comuna 1
BAR ASTURIAS,CONFITERIA,PASTEUR 555,Balvanera,Comuna 3
BAR AVENIDA,RESTAURANTE,"PERON, EVA AV. 4300",Parque Avellaneda,Comuna 9
BARBACOA,RESTAURANTE,BOLLINI 2133,Recoleta,Comuna 2
BARBARO,BAR,ARAOZ 2974,Palermo,Comuna 14
BAR BERLA,BAR,DON PEDRO DE MENDOZA AV. 1459,Boca,Comuna 4
BAR BIBON DE LAS LUCES,BAR,PERU 269,Monserrat,Comuna 1
BAR BOSTON,RESTAURANTE,RIOBAMBA 438,Balvanera,Comuna 3
BAR BRITANICO,RESTAURANTE,BRASIL AV. 399,San Telmo,Comuna 1
BAR BUSTAMANTE,CAFE,SANCHEZ DE BUSTAMANTE 1382,Recoleta,Comuna 2
BAR CANDY,CAFE,LARREA 486,Balvanera,Comuna 3
BAR CARLITOS,CAFE,"ROCA, JULIO A., PRESIDENTE AV. 737",Monserrat,Comuna 1
BARCELONA,RESTAURANTE,"URIBURU JOSE E., Pres. 278",Balvanera,Comuna 3
BAR CHARLY,RESTAURANTE,ELCANO AV. 4005,Villa Ortuzar,Comuna 15
BAR & CO,RESTAURANTE,ENTRE RIOS AV. 1322,Constitucion,Comuna 1
BAR CONDE,RESTAURANTE,"LACROZE, FEDERICO AV. 3193",Colegiales,Comuna 13
BAR CORDOBA,CAFE,CORDOBA AV. 2799,Recoleta,Comuna 2
BAR DE BOCA,RESTAURANTE,SARMIENTO 667,San Nicolas,Comuna 1
BAR DEL REGISTRO,,JUJUY AV. 478,Balvanera,Comuna 3
BAR DE VINOS,VINERIA,HUMBOLDT 1847,Palermo,Comuna 14
BAR DINO,BAR,AZCUENAGA 1277,Recoleta,Comuna 2
BAR DON,RESTAURANTE,"CALVO, CARLOS 1402",Constitucion,Comuna 1
BAR EL MOLINO,RESTAURANTE,24 DE NOVIEMBRE 2287,Parque Patricios,Comuna 4
BAR ESPAÃÆÃ¢â¬ËOL,RESTAURANTE,BELGRANO AV. 3001,Balvanera,Comuna 3
BAR FLY,VINERIA,DEL LIBERTADOR AV. 3883,Palermo,Comuna 14
BAR GARDEL,RESTAURANTE,TUCUMAN 3002,Balvanera,Comuna 3
BAR GUANABARA,RESTAURANTE,SARMIENTO 1232,San Nicolas,Comuna 1
BAR HISPANO ARGENTINO,RESTAURANTE,LUZURIAGA 301,Barracas,Comuna 4
BAR HYDE PARK,RESTAURANTE,MAIPU 572,San Nicolas,Comuna 1
BAR IBERIA,RESTAURANTE,TUCUMAN 1648,San Nicolas,Comuna 1
BARILOCHE,RESTAURANTE,SARMIENTO 2485,Balvanera,Comuna 3
BARIMSH,PUB,RIVADAVIA AV. 1928,Balvanera,Comuna 3
BAR J O C,,THAMES 200,Villa Crespo,Comuna 15
BAR K-FE,CAFE,CASTEX 3390,Palermo,Comuna 14
BAR LA ESCUELA,RESTAURANTE,"PEDRAZA, MANUELA 2803",NuÃÆÃÂ±ez,Comuna 13
BAR LAPRIDA,BAR,CHARCAS 2900,Recoleta,Comuna 2
BAR LA ROBLA,RESTAURANTE,VIAMONTE 1615,San Nicolas,Comuna 1
BAR LAS VEGAS,RESTAURANTE,"PERON, EVA AV. 5900",Villa Lugano,Comuna 8
BAR LEGALES,CAFE,"ALEM, LEANDRO N. AV. 1028",Retiro,Comuna 1
BAR LOS ANGELES,RESTAURANTE,SANCHEZ DE BUSTAMANTE 1626,Recoleta,Comuna 2
BAR LOS BILLARES DE MATADEROS,RESTAURANTE,DE LOS CORRALES AV. 7300,Mataderos,Comuna 9
BARLOVENTO SHOW,RESTAURANTE,DE LOS CONSTITUYENTES AV. 5301,Villa Urquiza,Comuna 12
BAR MAYO,CAFE,CHILE 1300,Monserrat,Comuna 1
BAR MEMOS,BAR,"PELLEGRINI, CARLOS 645",San Nicolas,Comuna 1
BAR MICHI,RESTAURANTE,BRASIL 1302,Constitucion,Comuna 1
BAR MITRE,BAR,"MITRE, BARTOLOME 730",San Nicolas,Comuna 1
BAR MUNICIPAL,RESTAURANTE,AVELLANEDA 550,Caballito,Comuna 6
BAROLO BISTRO,RESTAURANTE,BONPLAND 1621,Palermo,Comuna 14
BAR ORIENTE,RESTAURANTE,ALVAREZ THOMAS AV. 1800,Villa Ortuzar,Comuna 15
BAR ORQUIDEA,RESTAURANTE,CORRIENTES AV. 4101,Almagro,Comuna 5
BAR OVIEDO,BAR,"DE LA TORRE, LISANDRO AV. 2407",Mataderos,Comuna 9
BAR OVIEDO,CAFE,"BEIRO, FRANCISCO AV. 5701",Villa Real,Comuna 10
BAR PALACIO,RESTAURANTE,"LACROZE, FEDERICO AV. 3901",Chacarita,Comuna 15
BAR PATRICE,CAFE,CHARCAS 4402,Palermo,Comuna 14
BARRA BONITA,RESTAURANTE,"MANSILLA, LUCIO NORBERTO, GENERAL 3499",Palermo,Comuna 14
BARRA LA TASCA,BAR,TUCUMAN 238,San Nicolas,Comuna 1
BAR RAMOS,BAR,CORRIENTES AV. 1604,San Nicolas,Comuna 1
BAR RHIN,RESTAURANTE,SEGUROLA AV. 11,Floresta,Comuna 10
BARRIENTOS,RESTAURANTE,LARREA 1541,Recoleta,Comuna 2
BAR ROMA,BAR,SAN LUIS 3101,Balvanera,Comuna 3
BAR SAAVEDRA,CAFE,"BALBIN, RICARDO, DR. AV. 4008",Saavedra,Comuna 12
BAR SAN JOSE,BAR,"PERON, JUAN DOMINGO, TTE. GENERAL 2311",Balvanera,Comuna 3
BAR SIN NOMBRE,BAR,PERU 259,Monserrat,Comuna 1
BAR SRL,BAR,"ALEM, LEANDRO N. AV. 292",San Nicolas,Comuna 1
BAR SUAREZ,BAR,LAVALLE 803,San Nicolas,Comuna 1
BAR SUR,,ESTADOS UNIDOS 299,San Telmo,Comuna 1
B'ART,RESTAURANTE,"BORGES, JORGE LUIS 2180",Palermo,Comuna 14
BARTHO,PUB,RIOBAMBA 26,Balvanera,Comuna 3
BAR TIENDA LA BUSQUEDA,BAR,SAN MARTIN 657,San Nicolas,Comuna 1
BARTOK,RESTAURANTE,COSTA RICA 4600,Palermo,Comuna 14
BARTOLO,CAFE,LIMA 1749,Constitucion,Comuna 1
BARTOLO,BAR,"MITRE, BARTOLOME 321",San Nicolas,Comuna 1
BARTOLOMEO,PUB,"MITRE, BARTOLOME 1521",San Nicolas,Comuna 1
BAR TUCUMAN,BAR,TUCUMAN 3140,Balvanera,Comuna 3
BAR TUCUMAN,CAFE,TUCUMAN 877,San Nicolas,Comuna 1
BAR UNO,CAFE,SUIPACHA 757,San Nicolas,Comuna 1
BAR URIARTE,RESTAURANTE,URIARTE 1572,Palermo,Comuna 14
BAR URQUIZA,BAR,"URQUIZA, Gral. 786",Balvanera,Comuna 3
BAR VILAS,RESTAURANTE,SANTA FE AV. 3219,Palermo,Comuna 14
BAR VITO'S,BAR,SANTA FE AV. 3219,Palermo,Comuna 14
BAR YASE,CAFE,NAZCA AV. 575,Flores,Comuna 7
BAS BUENOS AIRES,RESTAURANTE,"COSSETTINI, OLGA 260",Puerto Madero,Comuna 1
BASE CAFE,PUB,"SAENZ PEÃÆÃ¢â¬ËA, LUIS, PRES. 99",Monserrat,Comuna 1
BAVIERA,RESTAURANTE,CIUDAD DE LA PAZ 2095,Belgrano,Comuna 13
BAY BEN BAR NUEVO CAFE,BAR,LAVALLE 1564,San Nicolas,Comuna 1
BAY GENESIS,CAFE,CORRIENTES AV. 1900,Balvanera,Comuna 3
BAYONA,BAR,TUCUMAN 839,San Nicolas,Comuna 1
B & B,RESTAURANTE,BULNES 2215,Palermo,Comuna 14
BELGRANO,CAFE,BELGRANO AV. 3009,Balvanera,Comuna 3
BELGRANO 901,BAR,BELGRANO AV. 901,Monserrat,Comuna 1
BELLAGAMBA,RESTAURANTE,RIVADAVIA AV. 2138,Balvanera,Comuna 3
BELLA ITALIA,RESTAURANTE,CUBA 1935,Belgrano,Comuna 13
BELLA ROMA,RESTAURANTE,"YRURTIA, ROGELIO 6024",Saavedra,Comuna 12
BELLISIMO,RESTAURANTE,MEXICO 802,Monserrat,Comuna 1
BENE BENE,,AMENABAR 616,Colegiales,Comuna 13
BENGAL,CAFE,ARENALES 837,Retiro,Comuna 1
BENITA,RESTAURANTE,"ANCHORENA, TOMAS MANUEL DE, DR. 1716",Recoleta,Comuna 2
BERALDI,BAR,CHARCAS 4191,Palermo,Comuna 14
BERCY,RESTAURANTE,PUEYRREDON AV. 1585,Recoleta,Comuna 2
BEREBER,BAR,ARMENIA 1880,Palermo,Comuna 14
BESARES BUENO,RESTAURANTE,11 DE SEPTIEMBRE DE 1888 4098,NuÃÆÃÂ±ez,Comuna 13
BETA,RESTAURANTE,TUCUMAN 2409,Balvanera,Comuna 3
BICE,RESTAURANTE,"MOREAU DE JUSTO, ALICIA AV. 192",Puerto Madero,Comuna 1
BIDOU DE LA MERCED,RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 462",San Nicolas,Comuna 1
BIDOU DE LAS LUCES,RESTAURANTE,PERU 269,Monserrat,Comuna 1
BIDOU DE LAVALLE,RESTAURANTE,LAVALLE 302,San Nicolas,Comuna 1
BIG BEN,RESTAURANTE,CERRITO 814,Retiro,Comuna 1
BIG GARDEN,RESTAURANTE,SANTA FE AV. 1113,Retiro,Comuna 1
BIG MAMMA,RESTAURANTE,"MATIENZO, BENJAMIN, TENIENTE 1599",Palermo,Comuna 14
BIG MAMMA,RESTAURANTE,CABELLO 3760,Palermo,Comuna 14
BIG MAMMA,RESTAURANTE,RECONQUISTA 1080,Retiro,Comuna 1
BILL PLAZA,CAFE,"ALVAREZ, DONATO, Tte. Gral. 900",Flores,Comuna 7
BILLY LOMITO,RESTAURANTE,FLORIDA 787,San Nicolas,Comuna 1
BIO,RESTAURANTE,HUMBOLDT 2199,Palermo,Comuna 14
BIRD,RESTAURANTE,URUGUAY 886,Recoleta,Comuna 2
BISCIUT,RESTAURANTE,PARAGUAY 2027,Recoleta,Comuna 2
BISCOCH,RESTAURANTE,CALLAO AV. 856,Recoleta,Comuna 2
BISTRO SUR,RESTAURANTE,SALOTTI MARTHA 445,Puerto Madero,Comuna 1
BLA- BLA,RESTAURANTE,"JUSTO, JUAN B. AV. 6301",Villa Santa Rita,Comuna 11
BLOSSOM,RESTAURANTE,TUCUMAN 516,San Nicolas,Comuna 1
BLUE BROWN,RESTAURANTE,JUNIN 1350,Recoleta,Comuna 2
BO-BO,RESTAURANTE,GUATEMALA 4882,Palermo,Comuna 14
BOCADO DULCE Y SALADO,CAFE,SARMIENTO 2212,Balvanera,Comuna 3
BOCADOS,RESTAURANTE,"SEGUI, JUAN FRANCISCO 4611",Palermo,Comuna 14
BOCADOS CAFE,CAFE,DIRECTORIO AV. 3999,Parque Avellaneda,Comuna 9
BOCHICHA,RESTAURANTE,"BROWN, ALTE. AV. 802",Boca,Comuna 4
BODEGA 52,RESTAURANTE,"RAVIGNANI, EMILIO, Dr. 1905",Palermo,Comuna 14
BODEN SEE,RESTAURANTE,ORTEGA Y GASSET 1880,Palermo,Comuna 14
BOEDO ANTIGUO,RESTAURANTE,"MARMOL, JOSE 1692",Boedo,Comuna 5
BOHEMIA,RESTAURANTE,CABILDO AV. 4212,Saavedra,Comuna 12
BOKOTO,RESTAURANTE,HUERGO 261,Palermo,Comuna 14
BOLOGNA,RESTAURANTE,ALVAREZ JONTE AV. 4501,Monte Castro,Comuna 10
BOM FIM,RESTAURANTE,DEL LIBERTADOR AV. 3883,Palermo,Comuna 14
BOMPLER,RESTAURANTE,SARMIENTO 570,San Nicolas,Comuna 1
BOM TEMPO,RESTAURANTE,YERBAL 2501,Flores,Comuna 7
BON BIJOU,PUB,CUENCA 2756,Villa Del Parque,Comuna 11
